LOCATIONS DETAIL ROW ID,SECTION LOCATION P1,Location - City Name UNLINKED,Location ID,SECTION OPPORTUNITY P1,Opportunity Name,Opportunity Name ID,Missing SECTION OPPORTUNITY P1 GS,SECTION VOP P0,Primary LOB GS LKUP,Chasing Intensity GS LKUP,Acq Stage GS LKUP,Deal Bin GS LKUP,Missin SECTION VOP P0 GS,SECTION LOB KPI P3,SSCW WPD,ECW WPD,FCW WPD,IBACW WPD,CRW TNL WPD GS LKUP,CRW WPD KPI Type,Missing SECTION LOB KPI P3 GS,SECTION MISSING COUNT P0,Missing P1 Count GS,Missing P2 Count GS,Missing P3 Count GS,Missing P0 Count GS,Missing SECTION MISSING COUNT P0 GS,SECTION LUBE STORE  ATTRIBUTES P3,Trade Neighbor Area,Operating Days,Operating Hours Weekly,Location Phone,Website URL,Lube Bays,Repair Bays,Repair Lifts,SECTION COLS SEEMS REDUNDANT,Co-located w/ Lube,Co-located w/ Car Wash,Co-located w/ repair,SECTION WASH STORE ATTRIBUTES P3,WASH STORE ATTRIBUTES ROW ID,Wash Style,Tunnel Type,Approx. Tunnel Length (ft),Tunnel Count,IBA Count,SS/DIY Bay Count,XPT,XPT Count,Gate Systems,Gate System Count,Vacuums (self serve),Vacuum Count,Vending,Missing SECTION WASH STORE ATTRIBUTES P3 GS,SECTION METADATA P0,Updater,Creator,Created Timestamp,ChangeTimestamp,Missing SECTION METADATA P0 GS,LINK2.0 ROW ID,LNK2.0 - Groomed Status,LINK2.0 BadName TMP,LINK2.0 - WasMessedUp,LINK2.0 - Uncategorized,LINK2.0 - Sprint plan,LINK2.0 - Sprint actual,LNK2.0 Sprint Complete,Team Validate,SECTION LINK2.0 P3,SECTION TO BE REMOVED,TO BE REMOVED ROW ID,Opportunity Tags GS XLKP,Location Tags,Overlapping Oppo
Z5Q3B3R2T9O3L9E0,,10 Minute Oil Change - Dallas - Dallas,CzDdPFTlIdPqzIunRzslWf,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,V7N9B9Z6K4W1A5W9,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:08:46,1/30/2025 12:08:30,1,Q5X4S4T2L2R7L9M3,,,,,,,,,,,L2E1J6O8T2G8R2B1,,,
S5A3U5Y1B9S2N7R7,,10 Minute Oil Change - Dallas - Mesquite,PG7rtf39NeB4nSYeHTnu7l,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,X4N9X8I6X2A0O4P1,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:10:35,1/30/2025 12:10:14,1,O3U5O5Q3W2L1R8C3,,,,,,,,,,,Z4T1G1U2A8G1O3G3,,,
H5J6T6S9M0G0E4U8,,10 Minute Oil Change - Dallas - Lancaster,ZxYvUoEhGP2VJmt6NwT25z,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,Y3R7G4A3U3A4N2Y5,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:13:43,1/30/2025 12:13:24,1,N3I7Q7J8Z2X2P5A2,,,,,,,,,,,C6J8M5W1B3M1U5Y8,,,
L0F4C0X2K5P9X0F6,,10 Minute Oil Change - Dallas - DeSoto,mkHQnwbch23168jAjRonvP,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,U2V5I1Z9X2R0Z3N8,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:16:05,1/30/2025 12:15:48,1,I0A7V6G3L2A6A7H4,,,,,,,,,,,P4T3U7X2M1N0A5W9,,,
Z0L7J0V8T3M2Q5R4,,10 Minute Oil Change - Dallas - Duncanville,ZDqL16zna1vhLmmUa9qjC3,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,F7F1G4X2N0B6M1C6,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:17:51,1/30/2025 12:17:35,1,O9Q5G2Y6Z6M8A9V2,,,,,,,,,,,P7W3D9U5N7W9A3L4,,,
Y2E8P0H2R5S9M1G5,,10 Minute Oil Change - Dallas - DFW,fkQGstAKEAngAIhFNhuEXj,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,H0B2A2C6K1U1V6G6,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:19:33,1/30/2025 12:19:27,1,Z3T0I5J2K1M7V4V3,,,,,,,,,,,Z2F5K3M3V7G8E6A6,,,
K1S9R7O2H3D4M1L8,,Ten Minute Oil Change - Lancaster,STvGazLct_4xmA0472oJGb,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,L9M3O4S5S8G4Q6O6,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:03,9/5/2024 16:34:03,1,P3J9Y1S7A2Z2K6C2,Groomed & Linked,,,,,,,,,,B2I5G6P9V9C0H6N3,missing,,
P5B8G3P3O8U7B9B8,,10 Minute Oil Change - Houston - Fondren Rd,JGRIqTYXZ74kqc6lyLfoDb,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,Y8H3Z4W0M9W9Z7P3,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:29,9/5/2024 16:34:29,1,A0W6R7O1Y7F1J8W9,Groomed & Linked,,,,,,,,,,M4L8Y0N6R8T3X4F1,missing,,
N9J7V5O6N8B2M3E8,,10 Minute Oil Change - Houston - Wilcrest Dr,4-h8xq_Htp4LyGlHDSKpF5,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,T7N8U3H9E5P4Q7P4,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:29,9/5/2024 16:34:29,1,D7G2N2O3P4M1S9K9,Groomed & Linked,,,,,,,,,,U5A2S8D7Z4P8C8D7,missing,,
P0V2L0U7M5E7O6W4,,10 Minute Oil Change - Stafford,IqeBHvqoQX4ieh9d9fbDm1,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,C3C2F1L7B9I5S3L2,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:29,9/5/2024 16:34:29,1,E6T8J5U2L3U1Q9L7,Groomed & Linked,,,,,,,,,,N4P9D2O6O8G4G6D9,missing,,
V9Z7T0Q1J4K1N8K0,,10 Minute Oil Change - Sugar Land,rKr5T0AyN24SygJ6fEvhT9,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,Z4E6J8W3B2X9L0W3,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:29,9/5/2024 16:34:29,1,C2B5R4X4X8X8S6N5,Groomed & Linked,,,,,,,,,,V5L5J2S7Y0Z2V6C7,missing,,
Z7Z3J8Q0D9H5Y3F0,,10 Minute Oil Change - Dallas - Ferguson Rd,N5UVZX8SQr45irXcAzExFb,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,Z6V8A3V7Z4P1W5P8,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:38,9/5/2024 16:34:38,1,X1I2U5O6K3T2Y1G9,Groomed & Linked,,,,,,,,,,I0T8A0K5I9N1Y6R1,missing,,
B1C2Z7Y9S3Y5W5C1,,10 Minute Oil Change - Duncanville,2fCNHnZjtM47u-BAnVLwtf,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,Z6I0W6A3C3S7X7J1,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:38,9/5/2024 16:34:38,1,O9S6I4C4I6Y5B8G8,Groomed & Linked,,,,,,,,,,E2Y9X5L8S6B8E2P6,missing,,
Z1O4V1B3D5R1Z7W0,,Ten Minute Oil Change - Dallas - Clark Rd,dv7GTNHGXU4rqaGTTnvYe1,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,P9X2P5K6H2F6T5I2,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:38,9/5/2024 16:34:38,1,F2L3H8O2N7O5D8L4,Groomed & Linked,,,,,,,,,,P8I2S6X4S2T6B1Q1,missing,,
Y2P0R6K3L2R3P3Y8,,Ten Minute Oil Change - DeSoto - Cockrell Hill Rd,alZkDY7PEA4neLVrigniX4,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,F0V5A7Y1S9N3F3O1,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:38,9/5/2024 16:34:38,1,O9C2E7E0M4G2O5O1,Groomed & Linked,,,,,,,,,,O7P8V9J0C0K1D9F9,missing,,
K4Y4N0J8I5S3G4U0,,Ten Minute Oil Change - DeSoto - Pleasant Run Rd,zHol28Y2yf446lgHc7YlAc,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,O6W6V8Q0L2Z6G4O8,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:38,9/5/2024 16:34:38,1,Z2D6X3S9W3V5M8D1,Groomed & Linked,,,,,,,,,,Y9O5R0X6K5G4H5S1,missing,,
I3R9K3Q2F4L3O4I4,,Ten Minute Oil Change - Lancaster,F4-Po4OjPb4oUQDcKFDzA1,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,C1J9A8A9G0Z8F9I9,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:38,9/5/2024 16:34:38,1,Y5E0T3J7L8Y4D8G6,Groomed & Linked,,,,,,,,,,P3M4W5F4H7W6D9G7,missing,,
S3C8W3P6S3A5S3R1,,Ten Minute Oil Change - Mesquite,uGj76E950l4ymaN4Fy5Wb9,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,S9U9K0Z0K4D5Z2F9,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:38,9/5/2024 16:34:38,1,Q7I6S0S5V9B6O4S5,Groomed & Linked,,,,,,,,,,D0I7H0V2Q3X9M6G4,missing,,
P8U8H2G0I9A1I9K5,,Ten Minute Oil Change - Garland,DXZkfLJ3ts4ZEAhMGOdS3e,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,H7Q6K9X3U2E9R8M1,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:44,9/5/2024 16:34:44,1,K4U8H0H1V3U8Q6H5,Groomed & Linked,,,,,,,,,,B9T4Q4S7P3W9A1J3,missing,,
W3G7D9D3G4G6H8L1,,Ten Minute Oil Change - Plano,7OGRQCE5Fr4GqL8pY67Fd8,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,11 OC,,01.4 Lead Very High SMP,02 Large (7-19),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,N1G9X4K5F0G2C8I8,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:44,9/5/2024 16:34:44,1,Q1C4K7X5P2U5P1N8,Groomed & Linked,,,,,,,,,,P7N6J3C4D0S6J5J2,missing,,
I3G4S3Z8A5Z6O1V8,,10 Minute Oil Change Center - Columbus,mzh6SqR5dk4s2mxCV5Kj2f,,10 Minute Oil Change Center - Columbus,k3TkCgNn524IaSqOjf5J95,0,,01 Quick Lube,,01.2 Lead Med SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,R4A1E6Z4D4H3H9Z5,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:34:53,9/5/2024 16:34:53,1,G5Z4D1A8C7R1N7T7,Groomed & Linked,,,,,,,,,,Y3U1N6R3B5G5J2W2,missing,,
D4U9E8V5Y5W1S9U2,,10 Minute Oil Lube - Westwood,sk1OiGLiMK4NA2YyLi4to9,,10 Minute Oil Lube - Westwood,50oirCdnZg4saXf2GrhGM5,0,,01 Quick Lube,,01.1 Lead Low SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,Z5K9V7Y6H6D7U2P9,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,U1P8O3M3O9W2G5H2,Groomed & Linked,,Y,N,,12/26/2024,,,,,I9N6M5R0R0P1T1F7,missing,,
Z3T2B4G7G6S4B0Z4,,10 Minute Superlube - Fremont,bFGE3-Akxj46A6DEm1Yi08,,10 Minute Superlube - Fremont,sEe38ZbPpa4RqftX2Bpih2,0,,01 Quick Lube,,02 Tracing,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,J9S3V7V7Y6V6T9K2,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:33:57,9/5/2024 16:33:57,1,B2C0W4A5H4W6X9Y7,Groomed & Linked,,,,,,,,,,V0E8D8U3Y9C7M2B1,missing,,
M8D0Y5Y9O5P4B3U7,,10-Minit Lube - Nashville,rP-QwXg6Vy4Oex6ij6uNM0,,10-Minit Lube,wLuumIG6Lb4qQ_ridepKx9,0,,01 Quick Lube,,01.3 Lead High SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,R2H5L8B3K0A2O6M4,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/5/2024 16:08:19,9/5/2024 16:08:19,1,B5I9C0P9I1R4T1E3,Ungroomed,Y,,,,,,,,,N7G4V2G4B3V0H8E0,missing,,
I9N8Z9O5B7J8Y4V3,,10MINIT Oil Change LLC - Fort Myers,U8okOxFAL_4niVleH2NXW3,,10MINIT Oil Change LLC,LJR9CBLI9O4WirwgOwND13,0,,01 Quick Lube,,01.1 Lead Low SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,2392049367,,2,,,,,,,,J8X7A4D5N3L9S5A0,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,Y4L2Q5R5U3T3A6Z0,Ungroomed,,,,9,9,9,,,,Y5Y0K4W3Y7B7C7V3,missing,,
U9D1K8X6T4I6W1T0,,1201 NJ-73 - Mt Laurel Township,kfpJlaeQge4MMLDJrmf1h0,,1201 NJ-73,6Zms5zhzD746mg6-ScaKd5,0,,01 Quick Lube,,01.1 Lead Low SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,2,,,,,,,,U9I2O1Y5D4X7V7T6,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,F8I7H2N2R9S6U7H1,Groomed & Linked,,,,2/28/2025,2/28/2025,9,,,,B2O5B2S7M0D4G2H0,missing,,
O4S3Q6P3Y1F7U3D0,,12431 West Ave,n_Uvim5K6A4Muklx6zGUU9,,12431 West Ave - San Antonio,HPQDhsCYxM42Q36wLqY0Uf,0,,05 Brownfield,,01.4 Lead Very High SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,M0Z6X4I9A8A8F6E0,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/13/2024 19:37:20,9/13/2024 19:37:20,1,N3O6B1Y0M4F3T9U6,Groomed & Linked,,,Y,9/16/2024,9/13/2024,37,,,,M3B3V4Q9X3V4K6C5,missing,,
C1Z1N5E8S9C7P7A4,,13 North Express Lube - Waseca,3YtOCqTLNP4lmT8QjXcNl6,,13 North Express Lube,rSMbgelsymik1O2YacJHIN,0,,01 Quick Lube,,01.1 Lead Low SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,5078337667,,2,,,,,,,,D2H9I3W9V3J9A2Z4,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,2/28/2025 10:24:50,9/12/2024 20:54:48,1,W0D0Z1O2W2J3G2O4,Groomed & Linked,,,,2/28/2025,2/28/2025,9,,,,E9E0I7V9K0R0Y4P4,missing,,
V5C7B5E0O2X7C5Y1,,13202 N Cave Creek Rd - Phoenix,ranVV7iqBs4eMKu7N-1Xy9,,13202 N Cave Creek Rd,LLXXYpJiqq4iEpE9-_yX14,0,,01 Quick Lube,,01.3 Lead High SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,F0X0A7T2S3P9K3X1,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,F6Q3E8S9D1X5L2R4,Ungroomed,Y,,,,,,,,,P9W3P5W2H3E3X3C7,missing,,
S4V5O4N4R0V0Y6R6,,13250 Farm to Market 1960 Rd W - Houston,lsoEhPk0fs4JylL-xI7DD1,,13250 Farm to Market 1960 Rd W - Houston,Kf-rFpz4L2402OfTMdXN5a,0,,05 Brownfield,,01.4 Lead Very High SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,I8E5E6T8Q1E7U4Y0,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 16:31:06,9/12/2024 16:31:06,1,K3T8A9C7V0L6E5P3,Groomed & Linked,,,Y,9/13/2024,9/12/2024,37,,,,V3C4B5V6L6N2C0J2,missing,,
U9M9M0D2X4M0G5A2,,138 Lube - Bronx,fzPJtwlRNy4begkeUEITub,,138 Lube - Bronx,6OYIwH7BoF4F6KLaYMFmt4,0,,01 Quick Lube,,01.1 Lead Low SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,2,,,,,TRUE,,,V8H7L7N6M8D4S7O0,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,Y3T6F0J3A8C8T7J3,Groomed & Linked,,,,2/28/2025,2/28/2025,9,,,,H8G3U4U5E3U4R8F6,missing,,
