SECTION LOCATION P1,LocationID,Location - City Name,Lube Name,State Abb,County ST,City,Street Number,"City, State",ZCTA Code,LAT SJ,LONG SJ,Missing SECTION LOCATION P1 GS,SECTION GEOGRAPHY P1,CBSA Name,State Code,SMP GS LKUP,US Region,US Division,Airport Southwest,Airport Distance,Airport Bin,HIDE Airport Southwest GS LKUP,# Miles to Closest OC Loc SJ,Missing SECTION GEOGRAPHY P1 GS,SECTION BUSINESS LINES P1,LOBs,Breeze Brand,Brand Sub Format,Missing SECTION BUSINESS LINES P1 GS,SECTION OPPORTUNITY P1,Opportunity Name,OpportunityID,Missing SECTION OPPORTUNITY P1 GS,SECTION PRICING DATA P1,Location Multiple GS,EBITDA from 4Wall GS LKUP,Bus. PP (MM),BPP KPI Type,Real Prop. PP (MM),REPP KPI Type,Deal Closed Yr,LOI Fully Executed GS,Closing Date,Days to Close,Missing SECTION PRICING DATA P1 GS,SECTION GATING PERFORMANCE P2,Traffic,TA,Days Open Annual,LOF CC Annual,LOF CPD,LOF CPD KPI Type,Sales,Sales KPI Type,4-Wall,4-Wall KPI Type,Missing SECTION GATING PERFORMANCE P2 GS,SECTION RUNWAY P1,2024 Opportunity,Probability,GS Weight EBITDA,Passed: Active Status,Missing SECTION RUNWAY P1 GS,SECTION METADATA P0,Updater,Creator,Created Timestamp,ChangeTimestamp,Missing SECTION METADATA P0 GS,SECTION TIDYING,Cleaner,Cleaning Pipeline,Cleaning Sprint Week,Cleaning Timetamp,Sitewise Batch
,-G49V6X9I24pqFZI9_t4a2,Speedy Lube Auto Repair - Ridgecrest,Speedy Lube Auto Repair,CA,Kern CA,Ridgecrest,433 N China Lake Blvd,"Ridgecrest city, CA",93555,#N/A,#N/A,-1,,"Bakersfield, CA",06,10,West,Pacific,,missing,,,,4,,"LOF , Repair",OC+R,OC & R,0,,Speedy Lube Auto Repair - Ridgecrest,YypvapIqit4LI1fA8agx00,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:35:36,9/5/2024 16:35:36,1,,,,,,Sitewise_Batch_01
,c6zbeMGq9u4sUg4skc6ise,10 Minute Speed Oil Change Center - El Cerrito,Oil Changers 928,CA,Los Angeles CA,El Cerrito,10175 San Pablo Ave,"El Segundo city, CA",94530,#N/A,#N/A,-1,,"Los Angeles-Long Beach-Anaheim, CA",06,10,West,Pacific,G7E1D1R3U9I5A7W7,13,Territory,Oakland International Airport,,1,,LOF,OC,OC,0,,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,0,,3.4,0.837,3.143,Actual Avg,0.000,Not applicable,12/31/23,7/29/2022,9/15/2023,413,0,,,$78.00,308,"25,872",84,Stat. Summary Report,$2.170,QoE,$0.930,QoE,1,,,,,,4,,,james.scerbo@oilchangers.com,1/29/2025 10:59:52,9/5/2024 16:33:19,1,,,,,,Sitewise_Batch_01
,-mvgdQNv8Q47y-hsrBJFi8,Snappy Lube - Thomasville,Snappy Lube,NC,Davidson NC,Thomasville,1453 National Hwy,"Thomasville city, NC",27360,#N/A,#N/A,-1,,"Winston-Salem, NC",37,6,South,South Atlantic,,missing,,,,4,,,,,3,,Strickland Brothers (Snappy Lube),Ris4wz85CY4JYT-patgwD0,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 20:26:06,9/5/2024 20:26:06,1,,,,,,Sitewise_Batch_01
,-xu4s4oX_r4eMaXn9FPrt7,Scrubway Wash & Lube - Tomball,Scrubway Wash & Lube,TX,Harris TX,Tomball,12715 Boudreaux Rd,"Tomball city, TX",77375,30.0496063,-95.610069,-1,,"Houston-The Woodlands-Sugar Land, TX",48,10,South,West South Central,,missing,,,,4,,"LOF , ECW , INS - State",OC+W,OC & WS,0,,Scrubway Wash & Lube - Tomball,ZgBpKGPzo74rqZV14BYfG2,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 16:54:47,9/12/2024 16:54:47,1,,,,,,Sitewise_Batch_01
,CgqkU9NY9E4fMYIPzxr_J5,Costa Oil 10 Minute Oil Change (Fake) - Corporate,,KS,,,,,,#N/A,#N/A,5,,"Wichita, KS",20,7,Midwest,West North Central,,missing,,,,4,,,OC,OC,1,,Costa Oil 10 Minute OC - Hanover,oawzGis7Bt4vy9HSvC4pZc,0,,8.5,1.8,17.000,Guesstimate,,,,,,,6,,,$80.00,308,"232,848",18,OC Guesstimate,$18.630,OC Guesstimate,$2.000,OC Guesstimate,1,,,,,Passed,3,,,james.scerbo@oilchangers.com,9/12/2024 17:59:46,9/12/2024 17:59:46,1,,,,,,Sitewise_Batch_01
,-nF8Kls7kj4pyFGUM6sVh7,Hoffman CW - Albany,Hoffman CW - 460 Sand Creek,NY,,Albany,460 Sand Creek Rd,"Albany, NY",12205,42.7151312,-73.8111516,0,,,,3,,,,missing,,,,8,,,,,3,,Hoffman CW - Albany,jIMTjMQAIV45Yo449t_U2d,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 17:59:46,9/12/2024 17:59:46,1,,,,,,Sitewise_Batch_01
,-IRgwfZRDb4kIyqFmO7Mva,All American Car Wash & Car Care Center - San Antonio,All American Car Wash,TX,Bexar TX,San Antonio,7262 DeZavala Rd,"San Antonio, TX",78249,29.5578276,-98.6149696,-1,,"San Antonio-New Braunfels, TX",48,10,South,West South Central,,missing,,,,4,,,,,3,,All American CW & Car Care - Wichita Falls,-U8gMV4cB44z6nrJpgng79,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 18:00:01,9/12/2024 18:00:01,1,,,,,,Sitewise_Batch_01
,-TxMeJ5Qjh41ALreuks27d,Mr Sparkle CW - Newington,Mr Sparkle CW - Newington,CT,,Newington,25 Pane Rd,"Newington, CT",06111,41.6545512,-72.7276694,0,,,,2,,,,missing,,,,8,,,,,3,,Mr Sparkle CW - Farmington,gdT3WSpFCK4W6vG63U2251,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 18:00:01,9/12/2024 18:00:01,1,,,,,,Sitewise_Batch_01
,-wEi15ENXn4HaYmVvYUA27,Acme Car Wash - Salinas,Acme Car Wash,CA,Monterey CA,Salinas,2047 N Main St,"Salinas city, CA",93906,36.7226237,-121.6567426,-1,,"Salinas, CA",06,10,West,Pacific,,missing,,,,4,,"LOF , FXCW , FSCW",OC+W,OC & WS,0,,Acme Car Wash - Salinas,SCR9TwOHW-46Q4ASCdIGP8,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,,,,,,Sitewise_Batch_01
,-d8nYA9JGd4V64Mw9IuWDc,Airport Road Express Lube - Ozark,Airport Road Express Lube,AR,Sharp AR,Ozark,1800 Airport Rd,"Ozark Acres CDP, AR",72949,35.5058698,-93.844047,-1,,"Batesville, AR",05,8,South,West South Central,,missing,,,,4,,,,,3,,Airport Road Express Lube,gkYAnpoKpk4WEtPVpDuWw4,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,,,,,,Sitewise_Batch_01
,-chRr8aaWX4CqlM_SUN0R7,All Star Oil Change - Dearborn,All Star Oil Change,MI,Wayne MI,Dearborn,7100 Wyoming Ave,"Dearborn city, MI",48126,42.3439482,-83.1569055,-1,,"Detroit-Warren-Dearborn, MI",26,10,Midwest,East North Central,,missing,,,,4,,,,,3,,All Star Oil Change,mij3RLkDXE4UAqPW3GB1a1,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,,,,,,Sitewise_Batch_01
,-oavTo9zXc4Mi8LBVUBITc,Checkpoint Automotive - Aurora,Checkpoint Automotive,CO,Adams CO,Aurora,18545 E Smoky Hill Rd,"Aurora city, CO",80015,39.6185483,-104.7712915,-1,,"Denver-Aurora-Lakewood, CO",08,7,West,Mountain,,missing,,,,4,,,,,3,,Checkpoint Automotive,D2qd2ICdB44_eVvWFlM0M8,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,,,,,,Sitewise_Batch_01
,-RTQun25BH4zA93cELaat3,Ephrata Oil Change Express - Ephrata,Ephrata Oil Change Express,WA,Grant WA,Ephrata,1254 Basin St SW,"Ephrata city, WA",98823,47.3076591,-119.5600126,-1,,"Moses Lake, WA",53,10,West,Pacific,,missing,,,,4,,LOF,OC,OC,0,,Ephrata OC Express - Ephrata,hlQePoWGRT4WMTj34dInj1,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,,,,,,Sitewise_Batch_01
,-CaTolyNcq4XirLBd46wx5,Express Care Lube & Car Wash - Sandusky,Express Care Lube & Car Wash,OH,Erie OH,Sandusky,304 W Perkins Ave,"Sandusky city, OH",44870,41.4326407,-82.7026124,-1,,"Sandusky, OH",39,8,Midwest,East North Central,,missing,,,,4,,,,,3,,[SPNK],AOUno(MxP2hMD61d?9@FZ,0,,,0,,,,,,#N/A,,,8,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,,,,,,Sitewise_Batch_01
,-qv4nXFAcp4D6HPFjxoEkf,Hondo Quick Lube - Hondo,Hondo Quick Lube,TX,Medina TX,Hondo,1305 19th St,"Hondo city, TX",78861,29.3472804,-99.143297,-1,,"San Antonio-New Braunfels, TX",48,10,South,West South Central,,missing,,,,4,,LOF,OC,OC,0,,Piston Lube Centers - San Antonio,gxVnLZhG-H4LYAyHagQWf2,0,,5.0,0.09,0.500,OC Guesstimate,0.500,OC Guesstimate,,,,,4,,,$70.00,308,"6,120",20,OC Guesstimate,$0.500,OC Guesstimate,$0.100,OC Guesstimate,1,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:21,9/12/2024 20:55:21,1,,,,,,Sitewise_Batch_01
,-ATkEMUoM84RyAjTI-cDU4,Kwik Kar Lube & Tune - Grand Prairie,Kwik Kar Lube & Tune,TX,Dallas TX,Grand Prairie,3450 S Carrier Pkwy,"Grand Prairie city, TX",75052,32.6856819,-97.0132186,-1,,"Dallas-Fort Worth-Arlington, TX",48,10,South,West South Central,,missing,,,,4,,"LOF , INS - State",OC,OC,0,,Kwik Kar Lube & Tune - Affiliates,0hrnoH8fVs4ZUlaAvP8Jqf,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:21,9/12/2024 20:55:21,1,,,,,,Sitewise_Batch_01
,-PC-nfAzGq4QIdyF_ZUkq6,Hometown Lube - Miami,Hometown Lube,FL,Miami-Dade FL,Miami,13600 SW 128th St,"Miami Gardens city, FL",33186,25.6481093,-80.4145475,-1,,"Miami-Fort Lauderdale-Pompano Beach, FL",12,3,South,South Atlantic,,missing,,,,4,,,,,3,,Hometown Lube,S4WEyxB2w248qDwUikG956,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:21,9/12/2024 20:55:21,1,,,,,,Sitewise_Batch_01
,-wwakMq2Dt4bminLxogM89,Greenstar Smog & Lube - Las Vegas,Greenstar Smog & Lube,NV,Clark NV,Las Vegas,6315 E Lake Mead Blvd,"Las Vegas city, NV",89156,36.1955019,-115.0349304,-1,,"Las Vegas-Henderson-Paradise, NV",32,9,West,Mountain,,missing,,,,4,,,,,3,,Greenstar Smog & Lube,wxy0tk9BAU44AYkvgbsJC9,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:21,9/12/2024 20:55:21,1,,,,,,Sitewise_Batch_01
,-gHWE0eXgU4362-hBjvM9f,Homer's Kwik Lube - Mountain City,Homer's Kwik Lube,TN,Johnson TN,Mountain City,1657 S Shady St,"Mountain City town, TN",37683,36.4550557,-81.7985437,-1,,[not in a CBSA],47,9,South,East South Central,,missing,,,,4,,,,,3,,Homer's Kwik Lube,oe7uPV3G8e4uYpV8CpnbI2,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:21,9/12/2024 20:55:21,1,,,,,,Sitewise_Batch_01
,-uHg7d1vj74WivO4ZbMYn3,Lawton Lube & Brake Express - Lawton,Lawton Lube & Brake Express,OK,Comanche OK,Lawton,3630 SE Lee Blvd,"Lawton city, OK",73501,34.5947216,-98.3438727,-1,,"Lawton, OK",40,8,South,West South Central,,missing,,,,4,,,,,3,,[SPNK],R2wZ&rt0PqE4vPTOsld6k,0,,,0,,,,,,#N/A,,,8,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:21,9/12/2024 20:55:21,1,,,,,,Sitewise_Batch_01
,-zx5jfSA-u48EPouUp6CL9,Nortex Lube and Tune - McKinney,Nortex Lube and Tune,TX,Collin TX,McKinney,2001 W White Ave,"McKinney city, TX",75069,33.2095453,-96.634522,-1,,"Dallas-Fort Worth-Arlington, TX",48,10,South,West South Central,,missing,,,,4,,"LOF , Repair , INS - State",OC+R,OC & R,0,,Nortex L&T - McKinney,M7Jq9fpgmR4ri7QiJD9NZ5,0,,,0,,,,,,,,,9,,,,,,15,Stat. Summary Report,,,,,8,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:41,9/12/2024 20:55:41,1,,,,,,Sitewise_Batch_01
,--XV9wa7TK4WYaW30VhJ67,Northwest Oilers Inc - Palatine,Northwest Oilers Inc,IL,Cook IL,Palatine,123 W Northwest Hwy,"Palatine village, IL",60067,42.1217654,-88.0471611,-1,,"Chicago-Naperville-Elgin, IL-IN-WI",17,10,Midwest,East North Central,,missing,,,,4,,LOF,OC,OC,0,,Northwest Oilers - Palatine,Rb8ecGBQ_J4dqQoDyZt_ye,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:41,9/12/2024 20:55:41,1,,,,,,Sitewise_Batch_01
,-b89prkDWP4v6X1tsKcKL9,Performance Lube & Oil - Chino,Performance Lube & Oil,CA,San Bernardino CA,Chino,5288 Riverside Dr,"Chino city, CA",91710,34.0196684,-117.6902843,-1,,"Riverside-San Bernardino-Ontario, CA",06,10,West,Pacific,,missing,,,,4,,LOF,OC,OC,0,,Performance Lube & Oil - Chino,VjtT_8zNCS47Uqrwej8jE3,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/12/2024 20:55:41,9/12/2024 20:55:41,1,,,,,,Sitewise_Batch_01
