outcome,location_id,location_city_name,breeze_brand,total_vpd,lube_bays,repair_bays,lof_cpd,sscw_wpd,ecw_wpd,fcw_wpd,ibacw_wpd,crw_tnl_wpd,lat_sj,latitude_input_data_x,long_sj,longitude_input_data_x,number_miles_to_closest_oc_loc_sj,brand_sub_format,opportunity_name,opportunity_id,traffic,sitewise_batch,acq_stage,co_located_w_lube,co_located_w_car_wash,co_located_w_repair,nearest_streetlight_day_part_aadt_5_mi,x2024_estimate_5_mi,x2029_projection_5_mi,state_abb,city,street_number,city_state,zcta_code
pass,WV4hmWyC-f49idulKXFGn3,Famous Quick Lube - St Marys,NA,13,NA,NA,13,NA,NA,NA,NA,0,30.7533008,30.7533008,-81.5765573,-81.5765573,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,1442,30324.0274772235,32265.7770386952,GA,St Marys,205 Charlie Smith Sr Hwy,"St Marys plc, GA",31558
pass,l62n57Z_4e4aElpMNTbX25,Victory Lane Quick Oil Change (Leland) - Leland,NA,20,NA,NA,20,NA,NA,NA,NA,0,34.1982344,34.1982344,-78.062136,-78.062136,NA,NA,Victory Lane Quick OC - Michigan,3aFRA6nk2U4rqQXjv0ruI9,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,13857,45169.4026053051,50645.9029254992,NC,Leland,3511 Roseblossom Dr,"Leland town, NC",28451
pass,XzbR6U-3JZ4ZQL2Tvw-Tj4,Valvoline Express Care - Selma,OC,24,2,NA,24,0,0,0,0,0,#N/A,36.5671017,#N/A,-119.615192,NA,OC,Sunny Sky Smog - Selma,GhgDRBMbtJ4da0rRM0ntDc,NA,Sitewise_Batch_01,08 Ops Pass,NA,NA,NA,4656,48466.1026394803,50364.9307073375,CA,Selma,2023 Whitson St,"Selma city, CA",93662
pass,rCAPFNHNEK4J2ehuKHNYm5,Andy's Lube and Service - Bountiful,OC,11,3,NA,11,NA,NA,NA,NA,0,40.8767775,40.8767775,-111.8919302,-111.8919302,NA,OC & R,Andy's Lube & Service - Bountiful,9o2m7gax0i41QgwCljVJE0,NA,Sitewise_Batch_01,03 Prospect,NA,NA,NA,8878,105694.105040426,104724.202067198,UT,Bountiful,1309 S 500 W,"Bountiful city, UT",84010
acquire,nCYp-9Ai9F4UMM94b8p634,Kwik Kar - Austin,OC+R,35,NA,NA,35,0,0,0,0,0,#N/A,30.2135967,#N/A,-97.8288156,NA,OC & R,Oil Changers 890 (Kwik Kar -  SW Austin),B2G1-flRI84JmIlfF69AYe,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,17716,272424.922321857,269022.626457738,TX,Austin,3416 W William Cannon Dr,"Austin, TX",78745
acquire,Amf0X-bsXL4pukqqRzxpge,Kwik Kar Wash & Lube - Camdenton,OC+W,489,2,NA,27,0,0,462,0,462,38.016582,38.016582,-92.7334685,-92.7334685,NA,OC & WS,Oil Changers 968-7972 (Kwik Kar W&L - Jefferson City),hfmpqWko5m4jaQMlk-Eyk3,NA,Sitewise_Batch_01,19 Post Close,Y,Y,NA,579,12719.5021547172,13261.4013576339,MO,Camdenton,70 Jack Crowell Road,"Camdenton city, MO",65020
acquire,4ARxwnkfh_4fAKMGdkuQQd,Kwik Kar Wash Detail & Lube - Osage Beach,OC+W,446,2,NA,34,0,0,412,0,412,38.1647602,38.1647602,-92.608811,-92.608811,NA,OC & WS,Oil Changers 968-7972 (Kwik Kar W&L - Jefferson City),hfmpqWko5m4jaQMlk-Eyk3,NA,Sitewise_Batch_01,19 Post Close,Y,Y,NA,7675,11192.4067545869,11649.8390041092,MO,Osage Beach,3730 Osage Beach Pkwy,"Osage Beach city, MO",65065
acquire,nPPNOZRemX4qAqethWNf0f,Kwik Kar Wash Express - Jefferson City - Missouri Blvd,TWS,312,0,NA,0,0,312,0,0,312,38.5805318,38.5805318,-92.1957783,-92.1957783,NA,TWS,Oil Changers 968-7972 (Kwik Kar W&L - Jefferson City),hfmpqWko5m4jaQMlk-Eyk3,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,8908,51150.2356779774,51124.2057040819,MO,Jefferson City,1510 Missouri Blvd,"Jefferson City, MO",65109
acquire,JLkN-p0ntk4dEsiOoUtC39,Kwik Kar Wash Express - Jefferson City - W Edgewood Dr,TWS,295,0,NA,0,0,0,295,0,295,38.5715075,38.5715075,-92.2251803,-92.2251803,NA,TWS,Oil Changers 968-7972 (Kwik Kar W&L - Jefferson City),hfmpqWko5m4jaQMlk-Eyk3,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,4813,53642.3483340399,53727.6484650566,MO,Jefferson City,2711 W Edgewood Dr,"Jefferson City, MO",65109
acquire,VdsG7t9YoA4duJsEJ4LBme,Kwik Kar Wash Express - Jefferson City - W Truman Blvd,TWS,433,0,NA,0,0,433,0,0,433,38.586425,38.586425,-92.254827,-92.254827,NA,TWS,Oil Changers 968-7972 (Kwik Kar W&L - Jefferson City),hfmpqWko5m4jaQMlk-Eyk3,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,2299,46501.0483782145,46828.5982952275,MO,Jefferson City,3739 W Truman Blvd,"Jefferson City, MO",65109
pass,nvJSySxK0r4REIewzdyh1f,Lube Depot - Baker City,OC+W,37,2,NA,22,0,0,0,15,0,44.7809745,44.7809745,-117.8408146,-117.8408146,NA,OC + IBA/SS,Oil Changers 978 (The Lube Depot - Baker City),HHEfijwC_546yevf-g4I34,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,1207,10887.3949423442,10972.5413091579,OR,Baker City,2450 10th St,"Baker City city, OR",97814
acquire,dClyBYJojy4wqmjh1gT8Ga,Lube N Go - Atascadero,OC+W,41,2,NA,21,0,0,0,20,0,35.4857307,35.4857307,-120.663376,-120.663376,NA,OC + IBA/SS,Oil Changers 973-975 (Lube N Go - San Luis Obispo),NbiLNPppeH4-6fb3bHDf13,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,4430,34038.4066574703,34020.7957033899,CA,Atascadero,7095 El Camino Real,"Atascadero city, CA",93422
acquire,zgruA9_NWI42Mdvvscd_Q1,Lube N Go - San Luis Obispo,OC,14,2,NA,14,0,0,0,0,0,35.272624,35.272624,-120.6701993,-120.6701993,NA,OC,Oil Changers 973-975 (Lube N Go - San Luis Obispo),NbiLNPppeH4-6fb3bHDf13,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,3696,65069.3309809338,69819.5180496264,CA,San Luis Obispo,286 Higuera St,"San Pasqual CDP, CA",93401
acquire,Ce5mQnfOea4Wi0Pp3vWI4c,Lube-N-Go - Paso Robles,OC,22,2,NA,22,0,0,0,0,0,35.6306901,35.6306901,-120.6912636,-120.6912636,NA,OC,Oil Changers 973-975 (Lube N Go - San Luis Obispo),NbiLNPppeH4-6fb3bHDf13,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,710,37099.6145804195,39011.5469230668,CA,Paso Robles,1544 Spring St,"San Luis Obispo city, CA",93446
acquire,Fy6CfB98-w4LyUMqKDRs-5,Menomonee_Super Lubes,OC,16,NA,NA,16,0,0,0,0,0,#N/A,43.178552,#N/A,-88.099129,NA,OC,Oil Changers 867-875 (Super Lubes of Wisconsin - Milwaukee),GLiimsbQne4AqCQiOhZMr8,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,5109,91547.3098063634,94681.6720283363,WI,Menomonee Falls,15220 Main St,"Menomonee Falls, WI",53051
acquire,HIDq2g4a1n46qpRfAjG5Y2,Oil Changers - Abingdon,OC,19,NA,NA,19,0,0,0,0,0,#N/A,36.7110734,#N/A,-81.9975712,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,7993,20228.9227471713,20767.1473212798,VA,Abingdon,439 Porterfield Hwy,"Abingdon, VA",24210
acquire,RhY5TOkL7w4XiIMlkQViOf,Oil Changers - Ashland,OC,22,NA,NA,22,0,0,0,0,0,#N/A,38.4646381,#N/A,-82.6174681,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,7494,50437.1064033892,49703.9109245434,KY,Ashland,3510 Winchester Ave,"Ashland, KY",41101
acquire,hM2GnRf9aD4FEnuwRnOMm2,Oil Changers - Beaumont,OC,30,NA,NA,30,0,0,0,0,0,#N/A,33.9297748,#N/A,-116.9489531,NA,OC + IBA/SS,Oil Changers 827 (Express Lube - Beaumont),vdq0PG5l9s4XyM7wVSADO4,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,4699,92983.4763475084,105261.509591496,CA,Beaumont,1560 E 6th St,"Beaumont, CA",92223
acquire,T9bgHFtMxZ4uQLroPzCBUc,Oil Changers - Camarillo,OC,11,NA,NA,11,0,0,0,0,0,#N/A,34.2309426,#N/A,-119.0183485,NA,OC,Oil Changers 891-894 (Xpress Lube Service - Simi Valley),pVGxMwMzil4XmBZ8QsNwa5,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,4515,90728.4100341246,92509.2051454609,CA,Camarillo,4021 Adolfo Rd,"Camarillo, CA",93012
acquire,lKHH7bfFGM4IQVS5Ax_JB6,Oil Changers - Chico,OC+W,64,NA,NA,64,0,0,0,0,0,#N/A,39.7164887,#N/A,-121.7951638,NA,OC + IBA/SS,Oil Changers 821-825 (Pro Lube Inc - Chico),mQUb-trKSu46qC9iPE0cH6,NA,Sitewise_Batch_01,21 Closed by Brick,NA,NA,NA,5307,100141.73486092,104235.529376567,CA,Chico,2485 Notre Dame Blvd #600,"Chico, CA",95928
acquire,ZpL71nBUtt4h6-AqU_8ZYd,Oil Changers - Cutlerville,OC,30,NA,NA,30,0,0,0,0,0,#N/A,42.8482418,#N/A,-85.6631886,NA,OC,Oil Changers 876-880 (Big Ray's Oil Change - 5-shop carve-out),FLKrzENXMC4B6oAkezJCid,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,5682,170488.136951022,177044.589843381,MI,Cutlerville,6364 S Division Ave,"Cutlerville, MI",49548
acquire,wGX_fvm5Ad4kmq2pp8V8F4,Oil Changers - Davis,OC,30,NA,NA,30,0,0,0,0,0,#N/A,38.5615814,#N/A,-121.7693732,NA,OC,Oil Changers 826 (Davisville Express Lube - Davis),7h8Zoc39NP4UuqwZJP1d33,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,3509,75721.6107949761,75240.422675301,CA,Davis,2014 Lyndell Terrace,"Davis, CA",95616
acquire,92-XvrMmCi4t2RSFiiflJ2,Oil Changers - Flatwoods,OC,20,NA,NA,20,0,0,0,0,0,#N/A,38.5170418,#N/A,-82.7227721,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,3068,44389.9006930639,44007.9828176415,KY,Flatwoods,2315 Argilite Rd,"Flatwoods, KY",41139
acquire,_ZW7SP4byK4ziHAJ1uIln9,Oil Changers - Grand Rapids - 28th,OC,23,NA,NA,23,0,0,0,0,0,#N/A,42.9121115,#N/A,-85.62301,NA,OC,Oil Changers 876-880 (Big Ray's Oil Change - 5-shop carve-out),FLKrzENXMC4B6oAkezJCid,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,18516,268931.131670234,276416.576536238,MI,Grand Rapids,1850 28th St SE,"Grand Rapids, MI",49508
acquire,Po9hUpFk_x4meUcmi10zU9,Oil Changers - Grand Rapids - Burton,OC,32,NA,NA,32,0,0,0,0,0,#N/A,42.9282688,#N/A,-85.6837,NA,OC,Oil Changers 896-898 (Speedy Lube - Grand Rapids),ngrznH_1Zx4SMwTqDXmH5e,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,9228,287808.599851605,296453.077605844,MI,Grand Rapids,647 Burton St SW,"Grand Rapids, MI",49503
acquire,NWjSrZDGjD4FA5Wef_t0T6,Oil Changers - Grand Rapids - Leonard,OC,28,NA,NA,28,0,0,0,0,0,#N/A,42.9847546,#N/A,-85.6453614,NA,OC,Oil Changers 896-898 (Speedy Lube - Grand Rapids),ngrznH_1Zx4SMwTqDXmH5e,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,5463,246291.765655536,252820.575213093,MI,Grand Rapids,925 Leonard St,"Grand Rapids, MI",49054
acquire,qhaKAGgrZC4n6Vs70MlG93,Oil Changers - Grand Rapids - Plainfield,OC,37,NA,NA,37,0,0,0,0,0,#N/A,43.0231333,#N/A,-85.6333809,NA,OC,Oil Changers 881-884 (Big Rays Oil Change - 4-shop carve-out),SOcpeHRGSC4KUP-1gCdIw5,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,16404,161957.308029904,167400.68725128,MI,Grand Rapids,3315 Plainfield Ave NE,"Grand Rapids, MI",49525
acquire,wmBEowWy194UEGkTqGl2q0,Oil Changers - Grass Valley,OC+W,26,NA,NA,26,0,0,0,0,0,#N/A,39.2239406,#N/A,-121.054301,NA,OC + IBA/SS,Oil Changers 821-825 (Pro Lube Inc - Chico),mQUb-trKSu46qC9iPE0cH6,NA,Sitewise_Batch_01,21 Closed by Brick,NA,NA,NA,3707,38145.8457549578,38410.2185861413,CA,Grass Valley,582 E Main St,"Grass Valley, CA",94945
acquire,Ep7CxbbPDw4VIbUuZJaJD0,Oil Changers - Grayson,OC,30,NA,NA,30,0,0,0,0,0,#N/A,38.3377459,#N/A,-82.9430699,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,6967,10778.0973076517,10722.9530686307,KY,Grayson,608 Carol Malone Blvd,"Grayson, KY",41143
acquire,v58Q0YsVSe4lqYH78Gbok4,Oil Changers - Greenville,OC,36,NA,NA,36,0,0,0,0,0,#N/A,43.1769692,#N/A,-85.2720435,NA,OC,Oil Changers 881-884 (Big Rays Oil Change - 4-shop carve-out),SOcpeHRGSC4KUP-1gCdIw5,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,8058,19843.5981145845,21468.510039109,MI,Greenville,1295 W Washington St,"Greeneville, MI",48838
acquire,cC_28ZoT5N4Di06mGz-Sve,Oil Changers - Holland,OC,14,NA,NA,14,0,0,0,0,0,#N/A,42.7678792,#N/A,-86.0975418,NA,OC,Oil Changers 876-880 (Big Ray's Oil Change - 5-shop carve-out),FLKrzENXMC4B6oAkezJCid,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,3683,93385.9303768334,99715.5868150115,MI,Holland,788 Lincoln Ave,"Holland, MI",49423
acquire,z2wQsq84-G4DEgoPjXbjbe,Oil Changers - Huntington,OC,19,NA,NA,19,0,0,0,0,0,#N/A,38.4114362,#N/A,-82.3675883,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,14826,67967.3709208185,67617.8386852368,WV,Huntington,3511 US 60,"Huntington, WV",25705
acquire,IiFWDF_GIu4OEinI7BZyFe,Oil Changers - Inez,OC,217,NA,NA,17,0,200,0,0,200,#N/A,37.8689114,#N/A,-82.5443061,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,1297,5560.8547035688,5407.90576276631,KY,Inez,324 W Main St,"Inez, KY",41224
acquire,DfSs3RDCMP4MyD36Vj2_G5,Oil Changers - Jenison,OC,17,NA,NA,17,0,0,0,0,0,#N/A,42.906828,#N/A,-85.7908335,NA,OC,Oil Changers 881-884 (Big Rays Oil Change - 4-shop carve-out),SOcpeHRGSC4KUP-1gCdIw5,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,18963,130832.977219323,141152.544708513,MI,Jenison,368 Baldwin St,"Jension, MI",49428
acquire,7mnpWrHWUk49UrtFCBTGdc,Oil Changers - Jonesborough,OC,17,NA,NA,17,0,0,0,0,0,#N/A,36.3019411,#N/A,-82.4600275,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,9118,49755.2817206148,52525.1876547336,TN,Jonesborough,411 Forest Dr,"Jonesborough, TN",37659
pass,dvHJIozat84YyWMPpCIWE6,All Automotive - Peotone,OC+R,10,NA,NA,10,NA,NA,NA,NA,0,41.3335374,41.3335374,-87.7919871,-87.7919871,NA,OC & R,All Automotive - Bradley,UxUxqclIJ14SQpfmEO-F3b,NA,Sitewise_Batch_01,03 Prospect,NA,NA,NA,431,7140.72923847847,7355.72238157917,IL,Peotone,121 W Main St,"Peotone, IL",60468
pass,50BtSQNGLz4pq1tnj1HXn5,All Automotive - Momence,OC+R,10,NA,NA,10,NA,NA,NA,NA,0,41.1624284,41.1624284,-87.662508,-87.662508,NA,OC & R,All Automotive - Bradley,UxUxqclIJ14SQpfmEO-F3b,NA,Sitewise_Batch_01,03 Prospect,NA,NA,NA,3380,6660.75193275395,6721.13775888958,IL,Momence,6 N Dixie Hwy,"Momence, IL",60954
pass,I1bKAzbX7O4pIfhSFN7Da1,All Automotive - Kankakee,OC+R,13,3,NA,13,NA,NA,NA,NA,0,41.1307855,41.1307855,-87.861589,-87.861589,NA,OC & R,All Automotive - Bradley,UxUxqclIJ14SQpfmEO-F3b,NA,Sitewise_Batch_01,03 Prospect,NA,NA,NA,3104,69493.712386788,70417.2233339842,IL,Kankakee,990 N Schuyler Ave,"Kankakee, IL",60901
pass,FUNSKr_Otu4aMa1DoYqfT2,Manteno Quick Lube - Manteno,OC+R,12,2,NA,12,NA,NA,NA,NA,0,41.2501391,41.2501391,-87.8316621,-87.8316621,NA,OC & R,All Automotive - Bradley,UxUxqclIJ14SQpfmEO-F3b,NA,Sitewise_Batch_01,03 Prospect,NA,NA,NA,4107,15481.3552622799,15833.0505836577,IL,Manteno,156 N Locust St,"Manteno village, IL",60950
acquire,5faOqhgzZV4MEVAz2gca36,Oil Changers - Kentwood,OC+W,35,NA,NA,35,0,0,0,0,0,#N/A,42.9130346,#N/A,-85.5522837,NA,OC + IBA/SS,Oil Changers 881-884 (Big Rays Oil Change - 4-shop carve-out),SOcpeHRGSC4KUP-1gCdIw5,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,13603,133544.920782184,136232.521239666,MI,Kentwood,4675 28th St SE,"Kentwood, MI",49512
acquire,AiKcQeWwNh4zaqMV1qhDdd,Oil Changers - Livermore,OC,27,NA,NA,27,0,0,0,0,0,#N/A,37.6846643,#N/A,-121.7645487,NA,OC,Oil Changers 927 (Castrol Premium LE - Livermore),Qf97hgKkH54DMHy5X-FwZ4,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,7384,97771.6545803563,97910.0266718903,CA,Livermore,2654 First St,"Livermore, CA",94550
acquire,oAsgJI97e_4nAVLzaauab2,Oil Changers - Lodi,OC,10,NA,NA,10,0,0,0,0,0,#N/A,38.124573,#N/A,-121.2600966,NA,OC,Oil Changers 821-825 (Pro Lube Inc - Chico),mQUb-trKSu46qC9iPE0cH6,NA,Sitewise_Batch_01,21 Closed by Brick,NA,NA,NA,6902,81478.4400064009,85518.2115582864,CA,Lodi,808 S Cherokee Ln #4336,"Lodi, CA",95240
acquire,iJVLO6_DZ14Quww3HXFyF7,Oil Changers - Logan,OC,21,NA,NA,21,0,0,0,0,0,#N/A,37.8611528,#N/A,-82.0458886,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,6780,11440.5674179978,11244.4397885232,WV,Logan,200 Prosperity Ln,"Logan, WV",25601
pass,93On0to2E5496YfZa9_Ab8,Kwik Kar Lube & Tune - Arlington,OC+R,29,NA,NA,29,0,0,0,0,0,32.7572422,32.7572422,-97.1574221,-97.1574221,NA,OC & R,Kwik Kar Crowley - Fort Worth,sM7232Ev9E43yWjJJ68TQe,NA,Sitewise_Batch_01,06 Corp Dev Pass,NA,NA,NA,8595,258187.807140519,253917.931979924,TX,Arlington,3110 Meadowbrook Blvd,"Arlington city, TX",76012
pass,79zsDCYtmR4mmXU_zTHn78,Kwik Kar Lube & Tune - Fort Worth,OC+R,27,NA,NA,27,0,0,0,0,0,32.6498341,32.6498341,-97.3488496,-97.3488496,NA,OC & R,Kwik Kar Crowley - Fort Worth,sM7232Ev9E43yWjJJ68TQe,NA,Sitewise_Batch_01,06 Corp Dev Pass,NA,NA,NA,12459,287285.278402734,304483.057671711,TX,Fort Worth,6620 Crowley Rd,"Fort Worth city, TX",76134
pass,RGjR84nAk_4UIluyh9Xhbc,Kwik Kar Lube & Tune - Hurst,OC+R,56,NA,NA,56,0,0,0,0,0,32.8500214,32.8500214,-97.1713026,-97.1713026,NA,OC & R,Kwik Kar Crowley - Fort Worth,sM7232Ev9E43yWjJJ68TQe,NA,Sitewise_Batch_01,06 Corp Dev Pass,NA,NA,NA,4430,263642.029646117,260864.876601172,TX,Hurst,108 W Harwood Rd,"Hurst city, TX",76054
acquire,mSs9Lf0S_34jMNb5N5S80e,Oil Changers - Louisa,OC,21,NA,NA,21,0,0,0,0,0,#N/A,38.1142544,#N/A,-82.6032119,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,3565,9986.90498050212,9992.8754391805,KY,Louisa,102 Dennison Dr,"Louisa, KY",41230
acquire,rFqnhvzDJt4X66N_vTNX1e,Oil Changers - Milton,OC,13,NA,NA,13,0,0,0,0,0,#N/A,38.4349461,#N/A,-82.1259054,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,7190,16175.6091957478,16339.5656554134,WV,Milton,217 E Main St,"Milton, WV",25541
acquire,Zy0l48LIt6416ZC5bQuEy4,Oil Changers - Modesto,OC,40,NA,NA,40,0,0,0,0,0,#N/A,37.6832264,#N/A,-121.0510363,NA,OC,Oil Changers 821-825 (Pro Lube Inc - Chico),mQUb-trKSu46qC9iPE0cH6,NA,Sitewise_Batch_01,21 Closed by Brick,NA,NA,NA,10133,165753.576413745,176000.412005503,CA,Modesto,3037 Sisk Rd,"Modesto, CA",95350
acquire,wllL8hCmYi48M-7IxiarVd,Oil Changers - Morehead,OC,33,NA,NA,33,0,0,0,0,0,#N/A,38.1772575,#N/A,-83.4349854,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,964,14390.8287318891,14597.692236467,KY,Morehead,120 Stone St,"Morehead, KY",40351
acquire,azeZrAFUPV4LELJKqd8FSd,Oil Changers - Mount Sterling,OC,27,NA,NA,27,0,0,0,0,0,#N/A,38.0726736,#N/A,-83.9548885,NA,OC,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,6671,18533.6634050799,19367.0613441162,KY,Mount Sterling,265 Indian Mound Dr,"Mount Sterling, KY",40353
acquire,NYV4TsuvUD4uil_ZiVtg90,Oil Changers - Nicholasville,OC+W,14,NA,NA,14,0,0,0,0,0,#N/A,37.9004387,#N/A,-84.5638275,NA,OC + IBA/SS,Oil Changers 906-924 (Fast Change Lube & Oil - Inez),w6gRkqThfV4w2h_pvmHRLb,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,1257,46592.406444408,49777.1633749389,KY,Nicholasville,1032 N Main St,"Nicholasville, KY",40356
acquire,u65FwSRisT4YILhrTugUI5,Oil Changers - North Bend,OC,40,NA,NA,40,0,0,0,0,0,#N/A,43.406759,#N/A,-124.2310993,NA,OC,Oil Changers 845-846 (Moe's Super Lube - Coos Bay),RMOaBqp9je4NUmCNgwyWm9,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,6151,31647.9473200685,31355.9586794174,OR,North Bend,1326 Virginia Ave,"North Bend, OR",97459
pass,9v0EcXksOL43eVPRIiBDRc,Mobil 1 Lube Express Oil Change & B52 Express Car Wash - Grand Rapids,OC+W,22,NA,NA,22,NA,NA,NA,NA,0,42.8703332,42.8703332,-85.5558639,-85.5558639,NA,OC & WS,B52 Express CW & Mobile 1 LE - Grand Rapids,B-S-iNOLTW4_U0HwRfw0d4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,11683,115831.01545278,118895.376525109,MI,Grand Rapids,5121 Broadmoor Ave SE,"Grand Blanc city, MI",49512
